burn,skin,r,g,b
0,0,191,199,212
0,0,188,196,209
0,0,185,193,206
0,0,181,189,202
0,0,177,185,198
0,0,174,182,195
0,0,172,180,193
0,0,172,180,193
0,0,174,182,195
0,0,179,187,200
0,0,185,193,206
0,0,188,196,209
0,0,191,199,212
0,0,189,197,210
0,0,186,194,207
0,0,184,192,205
0,0,182,190,203
0,0,181,189,202
0,0,181,189,202
0,0,182,190,203
0,0,182,190,203
0,0,181,189,202
0,0,179,187,200
0,0,178,186,199
0,0,177,185,198
0,0,175,183,196
0,0,172,180,193
0,0,172,180,193
0,0,170,178,191
0,0,168,176,189
0,0,168,176,189
0,0,168,178,190
0,0,170,180,192
0,0,169,179,191
0,0,171,181,193
0,0,171,181,193
0,0,171,181,193
0,0,170,180,192
0,0,168,178,190
0,0,166,176,188
0,0,163,173,185
0,0,163,173,185
0,0,161,171,183
0,0,173,139,93
0,1,173,139,93
0,1,175,139,91
0,1,176,138,91
0,1,176,138,89
0,1,175,139,89
0,1,177,137,88
0,1,178,136,86
0,1,179,135,86
0,1,181,135,86
0,1,180,137,86
0,1,178,135,84
0,1,174,130,81
0,1,174,130,81
0,1,172,128,81
0,1,166,123,78
0,1,165,122,77
0,1,164,123,79
0,1,160,119,75
0,1,155,116,73
0,1,159,122,80
0,1,172,137,95
0,1,188,155,114
0,1,199,167,126
0,1,200,171,129
0,1,200,171,129
0,1,201,172,128
0,1,201,172,128
0,1,203,172,128
0,1,203,172,128
0,1,202,171,127
0,1,202,169,124
0,1,200,169,125
0,1,199,166,123
0,1,198,165,122
0,1,197,164,121
0,1,195,162,119
0,1,195,162,119
0,1,196,162,117
0,1,197,163,118
0,1,197,163,118
0,1,198,164,119
0,1,198,164,119
0,1,198,164,119
0,1,199,165,120
0,1,199,165,120
0,1,199,165,120
0,1,199,166,121
0,1,198,167,121
0,1,193,162,118
0,1,192,161,117
0,1,191,160,116
0,1,189,158,114
0,1,186,154,113
0,1,183,150,109
0,1,183,150,109
0,1,184,149,109
0,1,181,146,106
0,1,171,136,96
0,1,159,126,85
0,1,149,116,75
0,1,146,113,72
0,1,167,135,94
0,1,191,162,120
0,1,203,174,132
0,1,205,178,135
0,1,207,179,139
0,1,210,187,145
0,1,208,185,143
0,1,205,184,141
0,1,211,188,144
0,1,207,184,140
0,1,203,181,132
0,1,202,180,131
0,1,203,180,130
0,1,202,179,129
0,1,201,178,128
0,1,200,177,127
0,1,199,176,126
0,1,201,175,126
0,1,200,174,123
0,1,199,173,122
0,1,199,173,122
0,1,196,170,119
0,1,194,166,116
0,1,193,166,113
0,1,191,164,111
0,1,189,162,109
0,1,186,159,106
0,1,185,155,103
0,1,182,152,100
0,1,180,150,98
0,1,178,148,94
0,1,174,147,92
0,1,175,146,90
0,1,169,138,83
0,1,165,132,78
0,1,166,131,75
0,1,162,125,72
0,1,160,119,67
0,1,156,113,62
0,1,153,107,58
0,1,142,94,46
0,1,128,77,32
0,1,126,78,32
0,1,142,95,51
0,1,166,123,81
0,1,185,147,102
0,1,196,163,118
0,1,203,172,126
0,1,207,180,135
0,1,206,182,138
0,1,204,181,137
0,1,203,180,139
0,1,205,182,140
0,1,206,181,141
0,1,205,180,140
0,1,203,178,138
0,1,203,175,136
0,1,205,177,138
0,1,205,177,137
0,1,204,177,134
0,1,202,173,131
0,1,200,171,127
0,1,199,168,122
0,1,196,165,118
0,1,194,162,113
0,1,192,159,108
0,1,189,158,104
0,1,191,156,102
0,1,186,151,97
0,1,176,141,85
0,1,170,135,79
0,1,164,129,73
0,1,159,124,68
0,1,153,118,62
0,1,147,115,58
0,1,142,111,56
0,0,137,106,51
0,1,129,100,44
0,0,122,95,40
0,0,116,90,39
0,0,107,85,38
0,0,96,74,35
0,0,75,54,23
0,0,55,35,11
0,0,35,13,0
0,0,37,12,5
0,0,44,16,13
0,0,56,25,30
0,0,46,17,21
0,0,36,7,11
0,0,22,1,0
0,0,24,0,0
0,0,48,21,14
0,0,92,66,43
0,0,94,69,39
0,0,92,69,35
0,0,88,66,27
0,0,87,68,28
0,1,89,71,33
0,1,92,75,45
0,0,88,72,47
0,1,100,85,66
0,0,124,110,97
0,1,172,159,151
0,0,193,185,182
0,0,196,195,193
0,1,194,195,199
0,0,195,199,202
0,1,198,203,206
0,0,200,205,209
0,0,200,207,213
0,1,202,209,219
0,1,203,212,221
0,0,204,213,222
0,0,204,214,223
0,0,199,212,221
0,0,200,210,220
0,0,199,209,221
0,0,200,209,224
0,0,200,208,221
0,0,199,208,223
0,0,199,209,221
0,0,199,207,220
0,0,200,206,218
0,0,200,206,218
0,0,199,205,217
0,0,199,205,217
0,0,199,205,217
0,0,194,202,215
0,0,191,199,212
0,0,192,200,213
0,0,193,201,214
0,0,195,203,216
0,0,195,203,216
0,0,195,203,216
0,0,195,203,216
0,0,193,201,214
0,0,192,200,213
0,0,192,200,213
0,0,190,198,211
0,0,192,200,213
0,0,193,201,214
0,0,193,201,214
0,0,191,199,212
0,0,191,199,212
0,0,190,198,211
0,0,187,195,208
0,0,184,192,205
0,0,182,190,203
0,0,179,187,200
0,0,177,185,198
0,0,174,182,195
0,0,175,183,196
0,0,177,185,198
0,0,181,189,202
0,0,186,194,207
0,0,188,196,209
0,0,189,197,210
0,0,187,195,208
0,0,185,193,206
0,0,182,190,203
0,0,181,189,202
0,0,181,189,202
0,0,181,189,202
0,0,181,189,202
0,0,181,189,202
0,0,181,189,202
0,0,179,187,200
0,0,178,186,199
0,0,177,185,198
0,0,175,183,196
0,0,174,182,195
0,0,172,180,193
0,0,171,179,192
0,0,170,178,191
0,0,170,178,191
0,0,170,180,192
0,0,170,180,192
0,0,171,181,193
0,0,171,181,193
0,0,171,181,193
0,0,170,180,192
0,0,169,179,191
0,0,168,178,190
0,0,167,177,189
0,0,165,175,187
0,0,164,174,186
0,0,163,173,185
0,0,172,138,92
0,1,174,140,94
0,1,178,142,94
0,1,180,144,96
0,1,182,144,95
0,1,185,145,96
0,1,185,145,96
0,1,184,142,92
0,1,184,142,92
0,1,183,140,89
0,1,181,137,88
0,1,179,136,85
0,1,175,133,83
0,1,175,131,82
0,1,173,129,82
0,1,170,126,81
0,1,168,125,80
0,1,166,125,81
0,1,166,125,81
0,1,159,120,77
0,1,158,121,79
0,1,166,129,87
0,1,187,152,112
0,1,201,168,127
0,1,204,172,131
0,1,202,173,131
0,1,201,172,130
0,1,200,171,129
0,1,200,171,127
0,1,200,169,125
0,1,202,169,126
0,1,200,168,127
0,1,201,168,125
0,1,200,167,124
0,1,200,167,124
0,1,200,167,124
0,1,198,165,122
0,1,198,165,120
0,1,199,165,120
0,1,199,165,120
0,1,199,165,119
0,1,199,165,119
0,1,199,165,119
0,1,199,165,119
0,1,200,163,118
0,1,201,162,119
0,1,198,164,119
0,1,200,168,121
0,1,200,169,123
0,1,193,162,116
0,1,191,160,114
0,1,191,158,115
0,1,191,158,115
0,1,188,155,112
0,1,184,151,110
0,1,185,150,110
0,1,184,151,108
0,1,184,149,107
0,1,177,142,100
0,1,169,136,95
0,1,159,124,82
0,1,142,109,68
0,1,159,126,85
0,1,184,152,111
0,1,200,171,129
0,1,205,176,136
0,1,204,176,136
0,1,209,184,143
0,1,209,184,143
0,1,207,184,143
0,1,210,187,143
0,1,207,183,137
0,1,203,179,133
0,1,202,178,130
0,1,202,179,129
0,1,201,178,128
0,1,200,177,127
0,1,199,176,126
0,1,198,175,125
0,1,199,173,124
0,1,199,174,120
0,1,198,172,121
0,1,197,171,120
0,1,195,169,118
0,1,194,167,114
0,1,192,165,112
0,1,190,163,110
0,1,190,160,110
0,1,187,157,105
0,1,185,155,103
0,1,182,152,100
0,1,179,149,97
0,1,177,147,93
0,1,175,145,91
0,1,174,145,89
0,1,171,140,85
0,1,167,135,78
0,1,163,131,74
0,1,166,127,72
0,1,162,121,69
0,1,160,114,64
0,1,159,109,60
0,1,149,98,51
0,1,134,83,36
0,1,125,77,31
0,1,138,91,47
0,1,162,119,76
0,1,182,143,100
0,1,195,161,116
0,1,203,172,126
0,1,208,181,136
0,1,206,181,140
0,1,205,182,140
0,1,205,182,138
0,1,206,183,142
0,1,209,184,144
0,1,211,183,143
0,1,209,181,142
0,1,208,180,140
0,1,208,180,140
0,1,205,180,139
0,1,205,178,135
0,1,202,175,130
0,1,201,172,128
0,1,199,168,122
0,1,195,164,117
0,1,193,161,112
0,1,190,157,106
0,1,188,155,102
0,1,188,153,99
0,1,185,150,96
0,1,178,139,84
0,1,172,135,80
0,1,166,131,75
0,1,160,125,69
0,1,154,119,63
0,1,147,115,58
0,1,143,110,57
0,1,140,107,53
0,1,132,101,47
0,1,125,96,40
0,1,120,90,40
0,1,113,82,38
0,1,98,74,38
0,1,85,59,32
0,1,67,41,18
0,1,45,15,4
0,1,42,12,4
0,1,50,16,17
0,1,64,28,30
0,1,53,17,21
0,1,43,8,12
0,1,26,0,0
0,1,26,0,0
0,1,47,18,10
0,1,86,54,31
0,1,96,65,36
0,1,94,66,29
0,1,88,60,20
0,1,83,62,19
0,1,90,66,28
0,1,102,79,45
0,1,94,73,46
0,1,89,69,45
0,1,86,65,46
0,1,104,86,74
0,0,138,125,117
0,0,177,172,166
0,0,195,194,190
0,0,206,206,204
0,1,209,211,210
0,0,203,204,206
0,1,201,205,208
0,0,205,208,213
0,0,206,211,217
0,1,202,209,217
0,0,197,206,215
0,0,199,209,218
0,0,200,210,220
0,0,201,211,221
0,0,200,210,220
0,0,200,210,222
0,0,200,210,222
0,0,199,209,221
0,0,200,208,219
0,0,200,208,219
0,0,200,206,218
0,0,200,206,218
0,0,200,206,218
0,0,200,206,218
0,0,195,203,216
0,0,193,201,214
0,0,193,201,214
0,0,194,202,215
0,0,195,203,216
0,0,196,204,217
0,0,195,203,216
0,0,194,202,215
0,0,192,200,213
0,0,190,198,211
0,0,189,197,210
0,0,187,195,208
0,0,191,199,212
0,0,193,201,214
0,0,192,200,213
0,0,191,199,212
0,0,191,199,212
0,0,188,196,209
0,0,186,194,207
0,0,184,192,205
0,0,182,190,203
0,0,181,189,202
0,0,180,188,201
0,0,180,188,201
0,0,179,187,200
0,0,180,188,201
0,0,183,191,204
0,0,186,194,207
0,0,188,196,209
0,0,187,195,208
0,0,185,193,206
0,0,182,190,203
0,0,180,188,201
0,0,180,188,201
0,0,180,188,201
0,0,181,189,202
0,0,180,188,201
0,0,179,187,200
0,0,179,187,200
0,0,178,186,199
0,0,178,186,199
0,0,177,185,198
0,0,176,184,197
0,0,175,183,196
0,0,174,182,195
0,0,174,182,195
0,0,173,181,194
0,0,173,181,194
0,0,172,182,194
0,0,172,182,194
0,0,172,182,194
0,0,171,181,193
0,0,170,180,192
0,0,168,178,190
0,0,168,178,190
0,0,167,177,189
0,0,166,176,188
0,0,166,176,188
0,0,166,176,188
0,0,166,176,188
0,0,176,142,96
0,1,178,144,98
0,1,182,146,98
0,1,186,150,102
0,1,189,151,102
0,1,192,152,103
0,1,192,152,103
0,1,190,148,98
0,1,187,145,95
0,1,184,141,90
0,1,181,138,87
0,1,179,136,85
0,1,177,135,85
0,1,176,132,83
0,1,172,130,82
0,1,172,129,84
0,1,170,127,82
0,1,170,129,85
0,1,170,129,85
0,1,162,123,80
0,1,157,120,78
0,1,157,122,80
0,1,185,150,110
0,1,202,169,128
0,1,204,175,133
0,1,203,174,132
0,1,201,172,130
0,1,199,170,128
0,1,200,168,127
0,1,199,167,126
0,1,198,167,123
0,1,200,169,125
0,1,202,169,126
0,1,201,168,125
0,1,202,169,124
0,1,202,169,124
0,1,201,168,123
0,1,201,168,123
0,1,201,167,122
0,1,201,167,121
0,1,200,166,120
0,1,200,166,120
0,1,199,165,119
0,1,198,164,118
0,1,198,164,118
0,1,198,164,118
0,1,196,162,116
0,1,202,170,123
0,1,203,172,125
0,1,193,163,113
0,1,188,157,110
0,1,188,155,110
0,1,192,158,113
0,1,190,156,110
0,1,187,153,108
0,1,186,151,109
0,1,186,151,109
0,1,188,151,109
0,1,185,148,106
0,1,181,144,102
0,1,171,136,96
0,1,151,116,76
0,1,156,123,82
0,1,173,140,99
0,1,200,168,127
0,1,207,175,134
0,1,206,177,137
0,1,203,175,135
0,1,205,180,139
0,1,210,182,142
0,1,206,183,142
0,1,203,180,136
0,1,202,178,130
0,1,201,177,129
0,1,201,178,128
0,1,200,177,127
0,1,199,176,126
0,1,198,175,125
0,1,200,174,125
0,1,198,172,123
0,1,197,171,122
0,1,197,171,120
0,1,197,171,120
0,1,196,168,118
0,1,195,164,117
0,1,194,164,114
0,1,192,162,112
0,1,190,160,108
0,1,185,158,105
0,1,184,154,102
0,1,182,152,100
0,1,179,149,97
0,1,177,147,93
0,1,176,145,91
0,1,175,144,89
0,1,173,142,87
0,1,169,137,80
0,1,165,128,73
0,1,168,129,74
0,1,166,123,72
0,1,163,115,66
0,1,159,111,63
0,1,152,101,54
0,1,139,88,41
0,1,124,76,30
0,1,134,87,43
0,1,159,116,73
0,1,181,143,98
0,1,193,159,114
0,1,200,169,122
0,1,204,177,132
0,1,204,180,136
0,1,203,180,138
0,1,204,181,139
0,1,206,183,142
0,1,209,184,144
0,1,211,183,144
0,1,212,180,142
0,1,208,178,140
0,1,206,181,140
0,1,205,180,139
0,1,205,178,135
0,1,203,174,130
0,1,200,171,127
0,1,198,167,121
0,1,193,162,115
0,1,191,159,110
0,1,188,155,104
0,1,185,152,99
0,1,185,150,96
0,1,182,147,93
0,1,180,141,86
0,1,173,136,81
0,1,168,131,76
0,1,162,125,70
0,1,156,119,64
0,1,151,116,60
0,1,147,112,56
0,1,139,106,52
0,1,134,101,47
0,1,128,95,42
0,1,122,90,41
0,1,115,83,42
0,1,106,73,40
0,1,95,61,36
0,1,77,46,26
0,1,54,18,6
0,1,50,13,5
0,1,56,18,15
0,1,74,34,35
0,1,69,27,29
0,1,56,16,17
0,1,38,0,0
0,1,42,4,1
0,1,52,16,4
0,1,71,35,9
0,1,82,47,15
0,1,84,52,14
0,1,81,49,8
0,1,74,45,3
0,1,78,49,9
0,1,89,61,22
0,1,98,72,39
0,1,100,73,44
0,1,92,66,43
0,1,82,55,36
0,1,82,63,49
0,1,100,88,76
0,1,153,144,137
0,0,195,188,180
0,0,220,215,211
0,1,212,211,207
0,0,208,208,206
0,0,205,206,208
0,1,206,207,209
0,0,203,208,212
0,0,201,208,214
0,0,205,214,221
0,0,203,213,222
0,0,201,211,220
0,0,200,210,219
0,0,200,210,220
0,0,200,210,222
0,0,200,210,222
0,0,200,208,221
0,0,200,208,219
0,0,200,210,220
0,0,200,206,218
0,0,200,206,218
0,0,200,206,218
0,0,198,206,217
0,0,197,205,218
0,0,197,205,218
0,0,198,206,219
0,0,199,207,220
0,0,199,207,220
0,0,198,206,219
0,0,196,204,217
0,0,193,201,214
0,0,191,199,212
0,0,189,197,210
0,0,186,194,207
0,0,191,199,212
0,0,193,201,214
0,0,192,200,213
0,0,190,198,211
0,0,188,196,209
0,0,185,193,206
0,0,184,192,205
0,0,183,191,204
0,0,183,191,204
0,0,183,191,204
0,0,184,192,205
0,0,184,192,205
0,0,183,191,204
0,0,184,192,205
0,0,186,194,207
0,0,187,195,208
0,0,186,194,207
0,0,186,194,207
0,0,183,191,204
0,0,180,188,201
0,0,178,186,199
0,0,179,187,200
0,0,180,188,201
0,0,181,189,202
0,0,178,186,199
0,0,178,186,199
0,0,178,186,199
0,0,177,185,198
0,0,177,185,198
0,0,177,185,198
0,0,176,184,197
0,0,176,184,197
0,0,176,184,197
0,0,176,184,197
0,0,176,184,197
0,0,176,184,197
0,0,175,185,197
0,0,174,184,196
0,0,173,183,195
0,0,170,180,192
0,0,169,179,191
0,0,167,177,189
0,0,166,176,188
0,0,166,176,188
0,0,166,176,188
0,0,167,177,189
0,0,167,177,189
0,0,168,178,190
0,0,185,151,105
0,1,185,151,105
0,1,187,153,105
0,1,193,152,106
0,1,190,154,104
0,1,192,152,103
0,1,191,151,102
0,1,191,149,99
0,1,188,146,96
0,1,185,142,91
0,1,183,140,89
0,1,181,138,87
0,1,179,135,86
0,1,175,133,83
0,1,174,130,83
0,1,174,131,86
0,1,172,129,84
0,1,171,130,86
0,1,175,132,89
0,1,165,126,83
0,1,156,119,77
0,1,153,116,74
0,1,181,148,107
0,1,203,170,129
0,1,205,176,134
0,1,205,176,134
0,1,202,173,131
0,1,199,170,128
0,1,199,167,126
0,1,198,166,125
0,1,197,166,122
0,1,198,167,123
0,1,199,168,124
0,1,202,169,124
0,1,203,170,125
0,1,203,170,125
0,1,203,171,124
0,1,203,171,124
0,1,204,170,124
0,1,202,168,122
0,1,201,167,121
0,1,201,167,119
0,1,200,166,118
0,1,198,165,114
0,1,200,164,114
0,1,197,163,115
0,1,197,163,115
0,1,202,169,118
0,1,206,174,125
0,1,192,162,112
0,1,188,158,108
0,1,187,155,106
0,1,192,158,112
0,1,191,157,111
0,1,188,154,108
0,1,189,152,107
0,1,190,151,108
0,1,192,155,111
0,1,190,153,109
0,1,187,150,106
0,1,182,145,103
0,1,164,129,87
0,1,158,123,83
0,1,161,128,87
0,1,197,165,124
0,1,210,178,139
0,1,208,180,140
0,1,192,167,126
0,1,199,174,134
0,1,205,182,140
0,1,202,178,134
0,1,203,176,133
0,1,201,177,131
0,1,201,177,129
0,1,200,177,127
0,1,201,175,126
0,1,200,174,125
0,1,199,173,124
0,1,199,173,124
0,1,197,171,122
0,1,198,170,120
0,1,198,170,120
0,1,197,169,119
0,1,195,167,119
0,1,195,165,115
0,1,194,164,114
0,1,192,162,110
0,1,190,160,106
0,1,188,158,106
0,1,184,154,102
0,1,181,151,99
0,1,179,147,96
0,1,177,146,92
0,1,176,145,91
0,1,175,144,89
0,1,176,145,90
0,1,171,139,82
0,1,163,128,72
0,1,169,130,75
0,1,167,124,73
0,1,161,115,65
0,1,162,111,64
0,1,155,104,57
0,1,143,90,46
0,1,125,74,29
0,1,132,83,40
0,1,156,111,69
0,1,177,139,94
0,1,192,155,110
0,1,197,166,120
0,1,201,172,128
0,1,201,177,133
0,1,201,178,134
0,1,203,178,137
0,1,206,181,141
0,1,207,182,142
0,1,210,182,143
0,1,210,180,142
0,1,207,179,140
0,1,208,183,142
0,1,208,185,143
0,1,207,183,139
0,1,205,178,135
0,1,203,174,130
0,1,200,169,123
0,1,195,164,117
0,1,192,160,111
0,1,189,156,105
0,1,188,152,100
0,1,189,149,97
0,1,184,147,94
0,1,178,141,86
0,1,173,136,81
0,1,168,131,76
0,1,162,125,70
0,1,156,121,65
0,1,151,116,60
0,1,147,112,58
0,1,142,107,53
0,1,135,102,48
0,1,129,96,43
0,1,124,90,42
0,1,118,83,41
0,1,110,73,44
0,1,100,62,39
0,1,82,43,26
0,1,55,13,1
